,dap,target,error,class
389,69742,69874.618,132.6180000000022,1
390,76200,75766.894,-433.10599999999977,1
391,80629,80045.573,-583.426999999996,1
392,82679,81945.981,-733.0190000000002,1
393,83242,82749.23,-492.7700000000041,1
394,83778,83365.795,-412.20500000000175,1
395,84049,83541.576,-507.42399999999907,1
396,84341,83763.486,-577.5139999999956,1
397,83868,83662.043,-205.95699999999488,1
398,83931,83225.722,-705.2780000000057,1
399,83074,82587.06,-486.9400000000023,1
400,83406,82750.559,-655.4410000000062,1
401,84238,83642.936,-595.0639999999985,1
402,84751,84155.085,-595.9149999999936,1
403,85885,85081.547,-803.4529999999941,1
404,85991,85521.854,-469.14599999999336,1
405,83823,82984.419,-838.5810000000056,1
406,79700,78961.33,-738.6699999999983,1
407,75001,74807.417,-193.58299999999872,1
408,72673,72232.022,-440.9780000000028,1
409,71120,70236.642,-883.3579999999929,1
410,70100,69624.86,-475.1399999999994,1
411,70494,70116.873,-377.12699999999313,1
412,72398,71785.45,-612.5500000000029,1
413,76886,76343.866,-542.1340000000055,1
414,83549,83301.407,-247.59299999999348,1
415,89557,88789.644,-767.3559999999998,1
416,91884,91086.655,-797.3450000000012,1
417,92210,91559.663,-650.3369999999995,1
418,92237,91457.899,-779.1009999999951,1
419,91513,90829.369,-683.630999999994,1
420,90261,89627.957,-633.0430000000051,1
421,88877,88469.591,-407.40899999999965,1
422,87841,87233.663,-607.3369999999995,1
423,87355,86771.922,-583.0779999999941,1
424,87813,87221.914,-591.0859999999957,1
425,88935,88470.624,-464.37600000000384,1
426,91213,89821.193,-1391.8070000000007,1
427,93532,92257.956,-1274.0439999999944,1
428,94913,94497.012,-415.98799999999756,1
429,92730,92758.634,28.63400000000547,1
430,88778,89059.21,281.2100000000064,1
431,84998,85155.639,157.63899999999558,1
432,82429,82332.389,-96.61100000000442,1
433,81481,81075.544,-405.4560000000056,1
434,81497,80676.493,-820.5069999999978,1
435,82303,81234.217,-1068.7829999999958,1
436,84751,83024.665,-1726.3350000000064,1
437,89741,86944.707,-2796.293000000005,0
438,96658,92610.902,-4047.097999999998,0
439,101176,96073.859,-5102.141000000003,0
440,101030,95586.761,-5443.239000000001,0
441,98909,93730.323,-5178.676999999996,0
442,92819,92204.589,-614.4109999999928,1
443,91164,90252.438,-911.5620000000054,1
444,88770,87929.233,-840.7670000000071,1
445,86419,85699.952,-719.0479999999952,1
446,84104,83441.999,-662.0010000000038,1
447,82009,81294.114,-714.8859999999986,1
448,81196,80564.431,-631.5690000000031,1
449,82446,81064.741,-1381.2590000000055,1
450,83842,82473.693,-1368.3070000000007,1
451,86878,85381.843,-1496.1570000000065,1
452,88993,88514.704,-478.2960000000021,1
453,88875,87786.767,-1088.232999999993,1
454,86317,85522.549,-794.4510000000009,1
455,83327,82580.777,-746.2229999999981,1
456,81080,80318.449,-761.5510000000068,1
457,80314,79018.789,-1295.2109999999957,1
458,79459,78727.471,-731.528999999995,1
459,79744,79119.565,-624.4349999999977,1
460,80822,80295.648,-526.351999999999,1
461,83024,82382.567,-641.4330000000045,1
462,86278,85564.641,-713.3589999999967,1
463,88502,87902.312,-599.6879999999946,1
464,88006,87178.05,-827.9499999999971,1
465,85462,84667.448,-794.551999999996,1
466,83187,81587.071,-1599.9290000000037,1
467,79519,78937.233,-581.7670000000071,1
468,76846,76159.618,-686.3819999999978,1
469,74192,73520.415,-671.5850000000064,1
470,72357,71330.659,-1026.3410000000003,1
471,70669,69990.178,-678.8220000000001,1
472,70512,69927.491,-584.5090000000055,1
473,72054,71299.204,-754.7960000000021,1
474,73701,73030.96,-670.0399999999936,1
475,76084,75579.146,-504.85400000000664,1
476,79314,78453.917,-860.0829999999987,1
477,78718,78111.231,-606.7690000000002,1
478,76576,75841.4,-734.6000000000058,1
479,73636,72834.593,-801.4070000000065,1
480,71024,70259.795,-764.2050000000017,1
481,69081,68403.425,-677.5749999999971,1
482,68533,67735.651,-797.349000000002,1
483,68091,67335.661,-755.3390000000072,1
484,68391,67838.801,-552.1989999999932,1
485,69493,69213.225,-279.7749999999942,1
486,71977,71508.258,-468.74199999999837,1
487,74089,73446.727,-642.273000000001,1
488,75797,74782.479,-1014.5209999999934,1
489,75341,73975.978,-1365.0219999999972,1
490,72703,71849.965,-853.0350000000035,1
491,70847,69899.992,-947.0080000000016,1
492,69018,68497.222,-520.7780000000057,1
493,67603,67029.965,-573.0350000000035,1
494,66762,65955.816,-806.1839999999938,1
495,66133,65664.334,-468.66599999999744,1
496,66840,66047.206,-792.7939999999944,1
497,67748,67190.466,-557.5339999999997,1
498,69245,68610.926,-634.0739999999932,1
499,70882,70535.251,-346.74899999999616,1
500,74264,73499.343,-764.6570000000065,1
501,73310,72462.171,-847.8289999999979,1
502,70442,69609.568,-832.4320000000007,1
503,67257,66418.392,-838.6079999999929,1
504,64754,63983.276,-770.724000000002,1
505,63642,62899.842,-742.1580000000031,1
506,63594,62732.206,-861.7940000000017,1
507,63966,63311.747,-654.252999999997,1
508,65919,65294.144,-624.8559999999998,1
509,70106,69767.283,-338.7170000000042,1
510,76758,76236.692,-521.3080000000045,1
511,81378,80730.696,-647.3040000000037,1
512,82052,81551.92,-500.08000000000175,1
513,81352,80635.189,-716.8110000000015,1
514,80754,79980.135,-773.8650000000052,1
515,79832,79252.905,-579.0950000000012,1
516,79000,78686.2,-313.8000000000029,1
517,78844,78412.273,-431.72699999999895,1
518,78406,77765.523,-640.476999999999,1
519,78107,77517.799,-589.2010000000009,1
520,78474,77930.128,-543.872000000003,1
521,79526,79002.233,-523.7670000000071,1
522,80358,79823.306,-534.6940000000031,1
523,81401,81184.76,-216.24000000000524,1
524,83582,82554.047,-1027.952999999994,1
525,80862,79856.851,-1005.1490000000049,1
526,76626,75224.064,-1401.9360000000015,1
527,71443,70608.158,-834.8420000000042,1
528,67635,67025.095,-609.9049999999988,1
529,65433,64909.208,-523.7920000000013,1
530,64526,63990.414,-535.586000000003,1
531,64198,63711.616,-486.3839999999982,1
532,65391,65133.606,-257.39400000000023,1
533,69227,68858.811,-368.1889999999985,1
534,75798,75326.091,-471.90899999999965,1
535,80560,79406.36,-1153.6399999999994,1
536,81706,80444.194,-1261.8059999999969,1
537,81473,79877.696,-1595.3040000000037,1
538,79955,79428.728,-526.2719999999972,1
539,79923,79369.488,-553.5120000000024,1
540,79913,79352.184,-560.8160000000062,1
