dap,target,,
72326,72005.137,,
68432,67809.978,,
65819,64883.631,,
64451,63097.816,,
63469,62666.363,,
64368,63440.875,,
67803,66567.064,,
73564,71750.423,,
78285,76601.472,,
80555,79865.028,,
81666,81901.838,,
83838,83550.699,,
85339,84554.028,,
86106,85319.917,,
86824,86415.647,,
87076,86974.597,,
88401,86685.771,,
89095,87013.579,,
88639,87677.241,,
88506,87524.12,,
88042,87023.436,,
87886,86976.074,,
84525,84376.04,,
78876,79469.277,,
73348,74076.69,,
70236,69794.224,,
67243,66924.936,,
65593,65135.057,,
65016,64339.433,,
65949,65185.595,,
69512,68381.423,,
76073,73478.625,,
80513,78229.473,,
83151,81646.28,,
83979,84240.883,,
85852,86385.243,,
88069,87885.387,,
90269,89572.913,,
91681,91180.366,,
92958,92173.327,,
94173,92647.762,,
94561,93034.841,,
94470,92869.293,,
93692,91407.016,,
93073,89608.03,,
90618,89059.978,,
87990,86184.025,,
82948,80480.184,,
76083,74739.479,,
71615,70410.359,,
68658,67396.936,,
66255,65762.97,,
65759,64924.003,,
66674,65582.87,,
70262,68507.174,,
76011,73642.484,,
80559,78537.655,,
82304,81423.955,,
83044,83009.29,,
83959,84252.627,,
85157,84985.241,,
85985,86017.586,,
86516,86511.424,,
86569,86439.558,,
86682,85673.242,,
86698,85935.716,,
86329,86052.255,,
86954,84903.616,,
86187,83535.829,,
86068,83503.995,,
83430,81576.305,,
78113,76834.191,,
72625,71879.762,,
68117,68141.094,,
65971,65928.303,,
65198,64571.369,,
65073,64287.421,,
66301,65621.988,,
70044,69144.976,,
76468,74616.334,,
80681,78492.569,,
81496,79729.923,,
81383,79528.005,,
80512,79332.318,,
79941,78702.283,,
79633,78354.448,,
78838,78278.785,,
78411,78158.595,,
78472,78086.073,,
78943,78475.688,,
79645,78947.361,,
80164,79270.969,,
80703,79561.86,,
81923,80859.986,,
80158,79499.101,,
75961,75217.426,,
71607,70469.257,,
67965,67189.082,,
66006,65153.728,,
64923,64255.138,,
64829,64202.62,,
65904,65226.217,,
69512,68904.952,,
75520,74200.39,,
79645,78266.45,,
81315,79838.771,,
81118,79994.411,,
81000,79688.157,,
80532,79480.136,,
79732,79641.003,,
79248,79333.134,,
78702,78840.21,,
77982,78272.531,,
78503,77902.559,,
78906,77880.357,,
79036,77648.951,,
78967,77586.196,,
80336,78636.756,,
78169,77837.363,,
74631,74669.74,,
70983,70805.739,,
68223,67590.076,,
66271,65467.018,,
65369,64379.685,,
65054,63949.447,,
65642,64398.154,,
67059,66155.012,,
69386,68162.293,,
71728,70533.047,,
73886,72985.362,,
74888,74211.374,,
75127,73975.796,,
74552,73373.51,,
73583,72588.51,,
72514,71418.05,,
71635,70137.798,,
71219,69558.726,,
71748,69930.679,,
72578,70555.357,,
73390,71367.428,,
74168,72112.162,,
75967,74414.969,,
75200,74583.22,,
72868,72144.525,,
69689,68997.963,,
66545,66142.795,,
64670,64341.827,,
63635,63291.012,,
63431,62912.57,,
63781,62927.442,,
64880,63902.435,,
66238,65226.635,,
67862,67073.075,,
69940,69763.641,,
71175,71757.473,,
72057,72777.806,,
72519,72734.655,,
73162,72400.882,,
72533,71891.095,,
72056,71784.641,,
72008,71734.822,,
72954,72352.269,,
74122,73691.764,,
75013,74582.805,,
76443,75591.098,,
78556,77325.179,,
77363,76674.104,,
73775,73474.451,,
69945,69799.273,,
66996,67020.634,,
65436,65404.2,,
64926,64426.981,,
65027,64453.283,,
66808,65900.316,,
70570,70008.417,,
76861,75499.401,,
81078,80226.103,,
82609,82483.398,,
83252,83270.099,,
83467,82994.228,,
82884,82218.176,,
82446,81658.41,,
81543,80878.075,,
80846,80092.552,,
79747,78958.538,,
79768,78763.761,,
80457,79257.896,,
80578,79718.345,,
81196,79951.97,,
82763,81394.338,,
81074,80364.056,,
76724,76051.408,,
72314,71427.09,,
68660,68205.705,,
66737,66171.447,,
65837,65417.104,,
65910,65178.47,,
67297,66576.883,,
70912,70533.329,,
76731,76057.523,,
80639,79967.915,,
81794,80682.999,,
81437,80361.79,,
81046,79615.523,,
80562,79265.895,,
80148,79195.25,,
79197,79367.027,,
78712,79447.447,,
78863,78893.301,,
80146,78934.521,,
80578,79460.54,,
81075,79423.319,,
80845,79864.309,,
82163,81222.357,,
81234,80484.82,,
77033,76273.864,,
72948,71846.053,,
68551,68603.353,,
67503,66619.766,,
66504,65950.028,,
